-22.0,-35.0,-78.0,-10.0,-5.0,-7.0,13.0,-32.0,6.0,58.0,97.0,1.0,-7.0,-1.0,1.0,-61.0,5.0,-11.0,-99.0,-13.0,-6.0,-2.0,-63.0,-27.0,3.0,29.0,2.0,-15.0,3.0,-4.0,7.0,32.0,-6.0,-21.0,-16.0,-24.0,-15.0,-3.0,2.0,-7.0,-32.0,-53.0,-11.0,29.0,16.0,26.0,67.0,-62.0,33.0,72.0,78.0,-2.0,4.0,-13.0,33.0,77.0,-5.0,-7.0,-58.0,-5.0,-12.0,-4.0,-1.0,-6.0,3
7.0,6.0,69.0,33.0,7.0,1.0,28.0,-7.0,-15.0,-47.0,-27.0,-36.0,-13.0,-4.0,-28.0,-14.0,-33.0,4.0,-59.0,1.0,14.0,12.0,-7.0,-97.0,-5.0,-36.0,-42.0,-66.0,-28.0,-6.0,1.0,93.0,5.0,14.0,-14.0,61.0,-13.0,-11.0,-38.0,60.0,7.0,18.0,39.0,20.0,6.0,0.0,8.0,-44.0,-18.0,-40.0,-75.0,-16.0,8.0,9.0,-14.0,-58.0,3.0,21.0,90.0,-60.0,-17.0,-13.0,-20.0,-40.0,3
-22.0,-36.0,37.0,26.0,8.0,11.0,14.0,2.0,19.0,6.0,2.0,20.0,0.0,-7.0,-23.0,9.0,7.0,-5.0,-94.0,-7.0,3.0,0.0,5.0,29.0,-11.0,-17.0,91.0,-3.0,7.0,15.0,34.0,-62.0,15.0,36.0,19.0,-21.0,-7.0,-11.0,-5.0,38.0,15.0,-21.0,-45.0,16.0,-6.0,3.0,34.0,100.0,-3.0,14.0,44.0,13.0,8.0,-4.0,-8.0,2.0,15.0,-76.0,-87.0,17.0,14.0,15.0,80.0,38.0,3
-2.0,-42.0,-128.0,-87.0,-20.0,-8.0,-35.0,27.0,22.0,33.0,86.0,3.0,19.0,-4.0,-5.0,57.0,9.0,16.0,62.0,40.0,7.0,-7.0,9.0,-29.0,-12.0,33.0,44.0,16.0,10.0,-3.0,-36.0,-81.0,3.0,41.0,-36.0,-14.0,-14.0,-4.0,4.0,-89.0,14.0,23.0,-9.0,-10.0,18.0,16.0,-17.0,48.0,-13.0,-25.0,-58.0,-17.0,-27.0,-6.0,-5.0,23.0,-10.0,23.0,21.0,21.0,12.0,-16.0,-36.0,-54.0,3
-3.0,-29.0,13.0,8.0,19.0,12.0,67.0,-5.0,1.0,38.0,68.0,58.0,-16.0,-3.0,-78.0,-56.0,1.0,-9.0,-23.0,-8.0,4.0,-13.0,13.0,9.0,10.0,25.0,15.0,8.0,7.0,11.0,20.0,45.0,-31.0,-40.0,-70.0,-42.0,-15.0,-10.0,-98.0,-106.0,-19.0,-68.0,-48.0,-104.0,-17.0,2.0,39.0,30.0,18.0,-2.0,71.0,88.0,14.0,-1.0,2.0,20.0,-11.0,-3.0,69.0,17.0,0.0,-4.0,-31.0,-76.0,3
-13.0,3.0,-25.0,1.0,-3.0,9.0,10.0,-53.0,-3.0,4.0,22.0,-2.0,8.0,-5.0,0.0,-49.0,-3.0,19.0,-21.0,13.0,0.0,-8.0,-16.0,-18.0,1.0,14.0,-5.0,21.0,-5.0,-11.0,-29.0,-65.0,-2.0,31.0,71.0,7.0,15.0,7.0,13.0,13.0,-11.0,-18.0,25.0,-10.0,-4.0,3.0,47.0,-63.0,4.0,26.0,62.0,-17.0,8.0,1.0,3.0,-9.0,-12.0,-2.0,-69.0,-74.0,-6.0,-8.0,0.0,-13.0,3
6.0,-38.0,31.0,76.0,-9.0,-5.0,-34.0,41.0,-30.0,-32.0,26.0,26.0,-3.0,1.0,6.0,-127.0,20.0,21.0,61.0,13.0,8.0,6.0,15.0,119.0,3.0,18.0,11.0,16.0,-13.0,2.0,-7.0,-48.0,1.0,-46.0,-27.0,-98.0,-7.0,5.0,8.0,94.0,-12.0,14.0,-41.0,35.0,-9.0,-1.0,-24.0,-46.0,-6.0,11.0,99.0,36.0,5.0,4.0,-16.0,-66.0,7.0,-2.0,-55.0,11.0,5.0,-11.0,-9.0,22.0,3
-3.0,18.0,-96.0,-32.0,-9.0,-9.0,-12.0,12.0,2.0,24.0,-4.0,29.0,15.0,0.0,7.0,-1.0,-18.0,-57.0,0.0,-48.0,-11.0,8.0,3.0,10.0,5.0,-25.0,-80.0,35.0,-2.0,-2.0,-40.0,-12.0,16.0,42.0,35.0,10.0,7.0,1.0,21.0,-5.0,-12.0,-33.0,1.0,-17.0,-3.0,6.0,42.0,25.0,9.0,53.0,45.0,-12.0,-2.0,2.0,4.0,-75.0,-5.0,3.0,37.0,-31.0,24.0,0.0,-25.0,-20.0,3
16.0,20.0,111.0,50.0,-1.0,-4.0,39.0,67.0,-15.0,-3.0,-55.0,-39.0,-5.0,-18.0,-21.0,-54.0,-13.0,-15.0,-54.0,6.0,-17.0,12.0,37.0,97.0,12.0,-40.0,83.0,56.0,7.0,2.0,35.0,68.0,14.0,60.0,28.0,2.0,10.0,-5.0,-41.0,-34.0,4.0,21.0,24.0,11.0,-2.0,4.0,-5.0,36.0,5.0,-19.0,-110.0,-47.0,-15.0,-5.0,15.0,-81.0,18.0,45.0,51.0,-20.0,22.0,14.0,25.0,66.0,3
5.0,-55.0,-83.0,3.0,-29.0,-10.0,24.0,41.0,18.0,7.0,25.0,22.0,9.0,13.0,-43.0,3.0,-7.0,-18.0,-84.0,-15.0,-17.0,-10.0,11.0,-2.0,-12.0,6.0,17.0,13.0,-12.0,2.0,2.0,-27.0,16.0,33.0,67.0,-8.0,23.0,4.0,46.0,1.0,-3.0,-24.0,-56.0,-40.0,12.0,1.0,-29.0,-22.0,2.0,-12.0,89.0,54.0,-3.0,-8.0,-26.0,-16.0,5.0,29.0,34.0,22.0,3.0,-3.0,18.0,9.0,3
